test_farms,val_farms,train_farms,mean_rho,std_rho,mean_r2,std_r2,mean_rmse,mean_mae,mean_n_train,mean_n_val,mean_n_test
10,6,65,0.5978115010861499,0.1979440545835795,0.30678533050749035,0.358550255614594,26.575073317854404,20.06589607447386,869.6333333333333,78.62222222222222,136.74444444444444
8,5,68,0.5972089739108593,0.2487311669575684,0.33476929002337985,0.3380691471284298,26.22643760148392,20.31898024396764,905.6777777777778,73.42222222222222,105.9
14,6,61,0.5941117876570629,0.19053475260180527,0.359632851017846,0.3256259873524866,25.517077703587056,19.51067143347528,819.6555555555556,79.68888888888888,185.65555555555557
8,4,69,0.5920234984032432,0.2529202407583942,0.3071784045961168,0.44143092050683425,25.721050350586463,19.276424824198088,925.0222222222222,53.37777777777778,106.6
10,10,61,0.5918932162625394,0.21626174094138093,0.3879257990254296,0.2921464815558631,25.54031376659233,19.457331097622713,820.3666666666667,131.84444444444443,132.7888888888889
12,6,63,0.5916842656775618,0.2081504737025969,0.34599959916538664,0.3055460757154187,25.74570044771703,19.517091977596284,841.7888888888889,79.61111111111111,163.6
5,12,64,0.5848405236291225,0.28169761797726217,0.22132166955206128,0.5578819746358624,23.79995253676006,18.20488132238388,860.5333333333333,159.34444444444443,65.12222222222222
12,10,59,0.5845127821139102,0.2001769628339205,0.3571517374780443,0.3315063146020313,27.160063793642582,20.812581378221513,790.0,135.38888888888889,159.61111111111111
5,5,71,0.5829014768985493,0.28808628330811037,0.21057338184780544,0.4923062038004596,24.973834403874505,19.66736031919718,949.3777777777777,67.72222222222223,67.9
14,5,62,0.5828785480593993,0.19259067491973822,0.35219136277834573,0.32844117263502004,27.62100107615561,21.201791734331184,827.6777777777778,69.5111111111111,187.8111111111111
14,10,57,0.5810759346856259,0.21641896378193193,0.36506401631567215,0.322300221294994,27.068288262786144,20.355433017346595,760.3111111111111,137.05555555555554,187.63333333333333
6,4,71,0.580317135158702,0.264661382510048,0.24265424145592585,0.4954169462570051,25.50678816565236,19.554594176179833,950.9222222222222,53.77777777777778,80.3
7,6,68,0.5787924150745084,0.2714647849933531,0.2777038355668386,0.4357421953352907,26.445024353424287,20.234395569976833,911.3777777777777,81.27777777777777,92.34444444444445
12,12,57,0.5781124098446095,0.21418299802159552,0.32806474698914423,0.3176918995229524,26.248050687179088,19.938259990513323,758.0777777777778,161.82222222222222,165.1
12,15,54,0.5771603904095363,0.21212935325831508,0.3244401878780789,0.35278900302384547,26.75433023443501,20.112960959639814,722.3333333333334,201.8111111111111,160.85555555555555
