year,date,field_number,parameter,protocol_number,file_type,source_file
2019,2020-10-12,100п-570,ph,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\100п-570\1. pH солевой вытяжки (24).pdf
2019,2020-10-12,100п-570,марганец,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\100п-570\10. Марганец  (22).pdf
2019,2020-10-12,100п-570,молибден,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\100п-570\11. Молибден  (23).pdf
2019,2020-10-12,100п-570,цинк,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\100п-570\12. Цинк  (22).pdf
2019,2020-10-12,100п-570,нитраты,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\100п-570\2. Группировка почв по содержанию нитратов (25).pdf
2019,2020-10-12,100п-570,фосфор,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\100п-570\3. Фосфор подвижный по Мачигину (21).pdf
2019,2020-10-12,100п-570,калий,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\100п-570\4. Калий подвижный по Мачигину  (23).pdf
2019,2020-10-12,100п-570,сера,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\100п-570\5. Сера подвижная  (20).pdf
2019,2020-10-12,100п-570,гумус,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\100п-570\6. Органическое вещество (гумус по Тюрину) (19).pdf
2019,2020-10-12,100п-570,медь,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\100п-570\7. Медь  (21).pdf
2019,2020-10-12,100п-570,железо,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\100п-570\8. Железо  (21).pdf
2019,2020-10-12,100п-570,магний,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\100п-570\9. Магний  (26).pdf
2019,2020-10-12,106п-368,ph,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\106п-368\1. pH солевой вытяжки (29).pdf
2019,2020-10-12,106п-368,марганец,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\106п-368\10. Марганец  (27).pdf
2019,2020-10-12,106п-368,молибден,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\106п-368\11. Молибден  (28).pdf
2019,2020-10-12,106п-368,цинк,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\106п-368\12. Цинк  (29).pdf
2019,2020-10-12,106п-368,нитраты,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\106п-368\2. Группировка почв по содержанию нитратов (31).pdf
2019,2020-10-12,106п-368,фосфор,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\106п-368\3. Фосфор подвижный по Мачигину (26).pdf
2019,2020-10-12,106п-368,калий,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\106п-368\4. Калий подвижный по Мачигину  (28).pdf
2019,2020-10-12,106п-368,сера,8,PDF,C:\Claude\science_article\raw_data\pdf_excel_data\2019\8 Новоалексеевка-ПК\106п-368\5. Сера подвижная  (25).pdf
